Doctor Identifier,Provider Type,Number of Beneficiaries,Services by Beneficiary,Total Submitted Charge Amount By Benificiary,Total Allowed Amount By Benificiary,Total Payment Amount By Benificiary,Total Standardized Payment Amount By Benificiary,Number of Drug Services By Benificiary,Total Drug Submitted Charge Amount By Benificiary,Total Drug Allowed Amount  By Benificiary,Total Drug Payment Amount  By Benificiary,Total Drug Standardized Payment Amount By Benificiary,Number of Medical Services,Percent Atrial Fibrillation,Percent Alzheimerâ€™s Disease or Dementia ,Percent Asthma ,Percent Cancer ,Percent Heart Failure ,Percent Chronic Kidney Disease,Percent Chronic Obstructive Pulmonary Disease,Percent Depression ,Percent Diabetes ,Percent Hyperlipidemia ,Percent Hypertension ,Percent Ischemic Heart Disease ,Percent Osteoporosis ,Percent Rheumatoid Arthritis or Osteoarthritis ,Percent Schizophrenia or Other Psychotic Disorders ,Percent Stroke ,Average HCC Risk Score of Beneficiaries 
450181093,Optometry,66,7.439393939,796.2121212,694.3590909,518.3592424,491.8312121,0,0,0,0,0,491,1.41,1.42,18,1.13,2.09,20,1.6,75,18,41,50,3.11,0.83,23,18,0.65,1.28
375128823,Emergency Medicine,211,18.4028436,783.9241706,399.1287204,295.0614692,295.1066825,15.65876777,137.0521327,89.32388626,70.03,70.03,579,9,15,9,9,11,14,10,42,24,48,56,22,9,38,7,10,1.52
429379427,CRNA,632,4.909810127,841.1143196,364.6824051,275.7310127,264.7243354,1.607594937,50.70292722,34.88772152,26.99738924,26.99738924,2087,13,10,8,11,13,22,7,24,19,44,57,25,12,67,4,7,1.11
993555030,Podiatry,42,1.023809524,69.88095238,69.82952381,39.34071429,100.2083333,0,0,0,0,0,43,0.5,0.69,0.56,0.28,0.84,1,0.66,31,0.89,62,57,36,0.27,38,0.44,0.25,1
786413532,Licensed Clinical Social Worker,34,4.441176471,385.8235294,117.3955882,115.0473529,100.0720588,0,0,0,0,0,151,0.07,0,0.06,0.08,0.08,0.12,0.06,56,75,75,75,41,0.05,56,0,0.03,1.57
252733945,Nurse Practitioner,557,5.574506284,477.2290844,365.7074327,289.3911131,282.5529803,0.838420108,70.13213645,63.58034111,61.88572711,61.88572711,2638,14,17,10,15,22,21,13,23,21,55,63,36,16,35,4,12,1.21
456649481,Psychiatry,107,6.093457944,982.4766355,610.0356075,465.6946729,546.1019626,0,0,0,0,0,652,2.75,3.66,16,1.69,0,14,3.54,67,15,28,29,5.77,1.5,26,19,0,1.05
933921624,Optometry,30,1.833333333,720.6333333,180.453,141.479,155.3016667,0,0,0,0,0,55,75,0.23,40,0.15,75,67,47,0.48,40,75,75,75,0.12,60,0.14,0.1,2.83
983640444,Psychiatry,437,2.437070938,842.4965675,242.8267963,184.8502517,178.6735469,0,0,0,0,0,1065,21,9,41,20,36,39,61,35,28,57,75,47,18,43,4,7,2.32
404849132,Nurse Practitioner,53,1.58490566,185.9433962,106.8626415,71.98433962,75.90056604,0,0,0,0,0,84,0,0.36,0.36,0.27,0.53,23,0.42,0.75,0.66,23,23,0.78,0.21,0.86,49,0.16,1.26
690987556,Ambulance Service Supplier,355,3.904225352,495.7183099,216.7500563,171.3649014,168.2893803,0.436619718,75.21126761,56.65890141,54.51808451,54.51808451,1231,12,8,18,14,18,24,19,25,36,70,75,31,14,45,2.47,6,1.37
658799001,Mass Immunization Roster Biller,19,12.10526316,1456.315789,647.1284211,446.2947368,508.6378947,0,0,0,0,0,230,0,0,0.52,0.32,0.79,0.97,0.62,63,0.9,1.51,1.79,1.04,0,1.11,0.38,0,1.04
714110083,CRNA,457,1.420131291,533.04814,104.673698,76.03415755,89.16890591,0,0,0,0,0,649,15,22,25,13,28,36,23,41,30,54,72,35,14,42,18,9,1.71
525325614,Internal Medicine,24,12.5,546.0933333,542.4908333,401.43375,381.9233333,0,0,0,0,0,300,0.42,0.42,0.41,0.33,0.62,0.8,0.47,0.85,0.79,46,46,0.92,0.25,50,0.23,0.19,1.23
822648896,Medical Oncology,428,4.278037383,685.2266355,266.4839252,207.2882009,248.8343692,0,0,0,0,0,1831,28,65,19,8,51,52,34,55,50,48,75,50,15,45,26,15,2.81
330716557,Colorectal Surgery (formerly proctology),164,1.018292683,463.0646341,102.8559756,80.42310976,80.20140244,0,0,0,0,0,167,16,14,18,11,20,27,15,27,43,66,75,48,9,51,0.33,0.33,1.55
421347269,Physician Assistant,681,1.406754772,765.4757709,174.6132159,133.0952863,134.360837,0,0,0,0,0,958,22,20,27,13,28,38,31,47,33,66,75,47,13,44,15,13,1.7
390780559,Nurse Practitioner,117,6.213675214,705.2136752,492.325641,349.077265,387.1594017,0,0,0,0,0,727,2.48,3.02,16,1.67,3.94,16,11,75,36,51,44,14,1.4,28,28,1.21,1.31
386096137,Otolaryngology,235,6.876595745,618.3234043,169.497234,127.0813617,143.8619149,5.25106383,46.96170213,21.66565957,16.98612766,16.98612766,382,5,6,21,5,13,22,21,57,32,46,50,24,8,71,1.2,6,1.53
125849228,Licensed Clinical Social Worker,64,2.078125,1361.6875,472.7145313,353.5948438,338.4214063,0,0,0,0,0,133,0.78,0.75,0.77,34,1.16,1.51,0.89,22,20,63,55,17,0.47,38,0.4,0.36,0.94
626120804,Internal Medicine,176,3.636363636,673.9943182,321.2936932,250.8234091,237.0251705,0.647727273,76.65909091,51.58875,50.42727273,50.42727273,526,9,10,6,11,9,13,7,20,15,39,52,18,2.91,28,1.35,1.43,0.9
149559850,Gastroenterology,35,7.485714286,523.7428571,343.74,247.3122857,245.0708571,0,0,0,0,0,262,0.46,0,0,0.35,0,0.88,0,63,0.85,34,1.8,1,0.27,31,0.26,0.21,0.83
471659865,Licensed Clinical Social Worker,357,5.058823529,717.1344538,322.9539496,247.4859664,274.5672829,0.641456583,93.03921569,71.00845938,69.58268908,69.58268908,1577,11,9,10,11,10,20,10,20,14,60,62,28,6,41,4.91,6,1.03
944411606,Audiologist (billing independently),19,39.26315789,2446.377895,1010.316842,786.0026316,771.6747368,0,0,0,0,0,746,0.36,0.4,0.35,0.27,0.55,0.69,0.41,0.78,0.68,58,58,0.79,0.21,0.87,0,0.17,1.48
550942346,Internal Medicine,21,18.57142857,3714.285714,1697.041905,1288.952381,1258.986667,0,0,0,0,0,390,0.83,0.9,0.83,0.64,1.27,1.62,0.97,52,1.56,62,71,1.83,0.48,2,0.5,0.39,1.49
417435316,Cardiology,1273,2.808326787,404.6732129,122.9860173,86.37959152,96.93507463,0.189316575,25.69599372,7.374351925,5.739544383,5.739544383,3334,15,10,15,20,17,26,18,25,38,71,70,35,5,36,7,7,1.33
279650060,Psychiatry,576,1.454861111,265.5448611,75.63704861,58.60090278,57.14501736,0,0,0,0,0,838,33,16,22,22,52,56,23,38,42,64,75,68,12,41,7,13,2.2
187513628,Nurse Practitioner,893,2.155655095,444.225084,121.8200896,88.5056103,84.16593505,0,0,0,0,0,1925,31,13,18,18,44,44,22,32,35,70,75,67,13,43,5,11,2.08
258057315,Nurse Practitioner,92,2.663043478,847.7391304,336.0209783,257.8766304,251.5106522,0,0,0,0,0,245,16,18,34,13,41,66,25,61,49,42,75,60,14,38,14,17,3.06
