,Doctor Identifier,Provider Type,Number of Beneficiaries,Services by Beneficiary,Total Submitted Charge Amount,Total Allowed Amount,Total Payment Amount,Total Standardized Payment Amount,Number of Drug Services,Total Drug Submitted Charge Amount,Total Drug Allowed Amount ,Total Drug Payment Amount ,Total Drug Standardized Payment Amount,Number of Medical Services,Percent Atrial Fibrillation,Percent AlzheimerÌ¢‰âÂ‰ã¢s Disease or Dementia ,Percent Asthma ,Percent Cancer ,Percent Heart Failure ,Percent Chronic Kidney Disease,Percent Chronic Obstructive Pulmonary Disease,Percent Depression ,Percent Diabetes ,Percent Hyperlipidemia ,Percent Hypertension ,Percent Ischemic Heart Disease ,Percent Osteoporosis ,Percent Rheumatoid Arthritis or Osteoarthritis ,Percent Schizophrenia or Other Psychotic Disorders ,Percent Stroke ,Average HCC Risk Score of Beneficiaries 
0,450181093,-0.182357494,66,7.439393939,107.0264766,93.33543788,69.67761711,66.11173116,0,0,0,0,0,491,1.41,1.42,18,1.13,2.09,20,1.6,75,18,41,50,3.11,0.83,23,18,0.65,1.28
1,375128823,-0.238432052,211,18.4028436,42.59799124,21.68842647,16.03347154,16.03592841,0.850888488,7.447334535,4.853808911,3.805390162,3.805390162,579,9,15,9,9,11,14,10,42,24,48,56,22,9,38,7,10,1.52
2,429379427,-0.162956323,632,4.909810127,171.3130035,74.27627457,56.15920077,53.9174283,0.327425073,10.3268611,7.105717048,5.498662585,5.498662585,2087,13,10,8,11,13,22,7,24,19,44,57,25,12,67,4,7,1.11
3,993555030,2.673125057,42,1.023809524,68.25581395,68.2055814,38.42581395,97.87790698,0,0,0,0,0,43,0.5,0.69,0.56,0.28,0.84,1,0.66,31,0.89,62,57,36,0.27,38,0.44,0.25,1
4,786413532,-0.359783415,34,4.441176471,86.87417219,26.43344371,25.90470199,22.53278146,0,0,0,0,0,151,0.07,0,0.06,0.08,0.08,0.12,0.06,56,75,75,75,41,0.05,56,0,0.03,1.57
5,252733945,-0.211661509,557,5.574506284,85.60921095,65.60355556,51.91331723,50.68663768,0.150402576,12.58086957,11.40555556,11.101562,11.101562,2638,14,17,10,15,22,21,13,23,21,55,63,36,16,35,4,12,1.21
6,456649481,-0.223025197,107,6.093457944,161.2346626,100.1132055,76.42535276,89.62102761,0,0,0,0,0,652,2.75,3.66,16,1.69,0,14,3.54,67,15,28,29,5.77,1.5,26,19,0,1.05
7,933921624,-0.182357494,30,1.833333333,393.0727273,98.42890909,77.17036364,84.71,0,0,0,0,0,55,75,0.23,40,0.15,75,67,47,0.48,40,75,75,75,0.12,60,0.14,0.1,2.83
8,983640444,-0.223025197,437,2.437070938,345.7004695,99.63878873,75.84935211,73.31487324,0,0,0,0,0,1065,21,9,41,20,36,39,61,35,28,57,75,47,18,43,4,7,2.32
9,404849132,-0.211661509,53,1.58490566,117.3214286,67.4252381,45.41869048,47.88964286,0,0,0,0,0,84,0,0.36,0.36,0.27,0.53,23,0.42,0.75,0.66,23,23,0.78,0.21,0.86,49,0.16,1.26
10,690987556,-0.247890621,355,3.904225352,126.969697,55.51678932,43.8921645,43.1044228,0.111832612,19.26406926,14.51220058,13.96386724,13.96386724,1231,12,8,18,14,18,24,19,25,36,70,75,31,14,45,2.47,6,1.37
11,658799001,-0.271327228,19,12.10526316,120.3043478,53.45843478,36.86782609,42.01791304,0,0,0,0,0,230,0,0,0.52,0.32,0.79,0.97,0.62,63,0.9,1.51,1.79,1.04,0,1.11,0.38,0,1.04
12,714110083,-0.162956323,457,1.420131291,375.3513097,73.70705701,53.54023112,62.78919877,0,0,0,0,0,649,15,22,25,13,28,36,23,41,30,54,72,35,14,42,18,9,1.71
13,525325614,-0.226720329,24,12.5,43.68746667,43.39926667,32.1147,30.55386667,0,0,0,0,0,300,0.42,0.42,0.41,0.33,0.62,0.8,0.47,0.85,0.79,46,46,0.92,0.25,50,0.23,0.19,1.23
14,822648896,-0.340643928,428,4.278037383,160.1731294,62.2911633,48.45404151,58.16554342,0,0,0,0,0,1831,28,65,19,8,51,52,34,55,50,48,75,50,15,45,26,15,2.81
15,330716557,2.673125057,164,1.018292683,454.7461078,101.0082635,78.97838323,78.76065868,0,0,0,0,0,167,16,14,18,11,20,27,15,27,43,66,75,48,9,51,0.33,0.33,1.55
16,421347269,-0.350732653,681,1.406754772,544.1430063,124.1248434,94.6115762,95.51120042,0,0,0,0,0,958,22,20,27,13,28,38,31,47,33,66,75,47,13,44,15,13,1.7
17,390780559,-0.211661509,117,6.213675214,113.4938102,79.23259972,56.17887208,62.30763411,0,0,0,0,0,727,2.48,3.02,16,1.67,3.94,16,11,75,36,51,44,14,1.4,28,28,1.21,1.31
18,386096137,-0.233123123,235,6.876595745,89.91707921,24.64842203,18.48027228,20.92051361,0.763613861,6.829207921,3.150637376,2.470136139,2.470136139,382,5,6,21,5,13,22,21,57,32,46,50,24,8,71,1.2,6,1.53
19,125849228,-0.359783415,64,2.078125,655.2481203,227.4716541,170.1509023,162.8493985,0,0,0,0,0,133,0.78,0.75,0.77,34,1.16,1.51,0.89,22,20,63,55,17,0.47,38,0.4,0.36,0.94
20,626120804,-0.226720329,176,3.636363636,185.3484375,88.35576563,68.9764375,65.18192188,0.178125,21.08125,14.18690625,13.8675,13.8675,526,9,10,6,11,9,13,7,20,15,39,52,18,2.91,28,1.35,1.43,0.9
21,149559850,-0.251334392,35,7.485714286,69.96564885,45.91946565,33.03790076,32.73847328,0,0,0,0,0,262,0.46,0,0,0.35,0,0.88,0,63,0.85,34,1.8,1,0.27,31,0.26,0.21,0.83
22,471659865,-0.359783415,357,5.058823529,141.7591362,63.83973422,48.92164452,54.27492802,0.126799557,18.39147287,14.03655592,13.75471761,13.75471761,1577,11,9,10,11,10,20,10,20,14,60,62,28,6,41,4.91,6,1.03
23,944411606,-0.276568195,19,39.26315789,62.3072118,25.73193029,20.01883378,19.65391421,0,0,0,0,0,746,0.36,0.4,0.35,0.27,0.55,0.69,0.41,0.78,0.68,58,58,0.79,0.21,0.87,0,0.17,1.48
24,550942346,-0.226720329,21,18.57142857,200,91.37917949,69.40512821,67.79158974,0,0,0,0,0,390,0.83,0.9,0.83,0.64,1.27,1.62,0.97,52,1.56,62,71,1.83,0.48,2,0.5,0.39,1.49
25,417435316,-0.11202818,1273,2.808326787,144.0976224,43.79334266,30.75838322,34.51702098,0.067412587,9.14993007,2.625888112,2.043759441,2.043759441,3334,15,10,15,20,17,26,18,25,38,71,70,35,5,36,7,7,1.33
26,279650060,-0.223025197,576,1.454861111,182.5224821,51.98918854,40.27937947,39.27867542,0,0,0,0,0,838,33,16,22,22,52,56,23,38,42,64,75,68,12,41,7,13,2.2
27,187513628,-0.211661509,893,2.155655095,206.0742857,56.51186494,41.05740779,39.04424935,0,0,0,0,0,1925,31,13,18,18,44,44,22,32,35,70,75,67,13,43,5,11,2.08
28,258057315,-0.211661509,92,2.663043478,318.3346939,126.1793061,96.83530612,94.44481633,0,0,0,0,0,245,16,18,34,13,41,66,25,61,49,42,75,60,14,38,14,17,3.06
29,933186891,-0.162956323,63,7.476190476,139.9830149,61.35356688,46.11772824,45.65932059,0,0,0,0,0,471,0.84,0.89,19,0.65,1.28,19,21,73,29,43,48,1.85,0.5,33,33,0.39,1.61
30,792931829,2.673125057,274,8.120437956,237.6979775,79.08206742,60.27749213,58.71789663,0,0,0,0,0,2225,12,9,13,75,17,31,18,21,30,59,72,39,5,34,2.13,7,1.55
31,707233569,-0.204616131,375,1.181333333,784.2180587,119.7529345,94.64751693,94.20042889,0,0,0,0,0,443,14,13,15,15,21,27,19,37,24,59,73,35,11,47,11,5,1.41
32,307736204,-0.226720329,485,2.078350515,702.422619,161.0725893,123.2815278,121.1823313,0,0,0,0,0,1008,17,10,18,16,24,38,21,34,35,63,75,39,14,38,5,5,1.73
33,700956040,-0.359783415,1458,2.032921811,129.2537112,58.83276991,42.28592443,41.55396424,0,0,0,0,0,2964,33,18,17,12,38,34,19,31,30,60,75,49,8,41,6,11,1.68
34,555574243,-0.211661509,197,1.040609137,547.3816098,99.63814634,79.68882927,79.09239024,0,0,0,0,0,205,17,12,12,14,13,24,8,29,23,51,67,28,6,39,7,0.34,1.07
35,263999175,-0.208852265,43,2.255813953,242.4020619,85.23762887,65.12505155,62.90876289,0,0,0,0,0,97,0.3,0.27,0.29,0.24,0.43,26,0.33,56,40,42,63,0.66,0.18,37,0.14,0.13,1.25
36,610798203,-0.200522824,1353,2.148558758,438.7928724,157.2152322,112.1716271,109.0980392,0,0,0,0,0,2907,11,8,10,10,13,22,10,17,26,53,65,28,10,41,1,4,1.09
37,486325975,-0.223025197,49,1.571428571,140.6103896,48.28090909,32.56545455,31.43818182,0,0,0,0,0,77,0.26,0.22,0.26,0.21,0.37,0.49,0.29,22,22,37,67,24,0.16,37,0.11,0.11,1.24
38,263890366,-0.238432052,180,1.622222222,276.9691781,158.0251712,107.6237329,106.1144178,0,0,0,0,0,292,17,31,12,13,23,30,14,43,26,62,67,32,13,41,13,22,1.46
39,183311807,-0.085648941,212,3.481132075,276.7127371,90.8999458,73.77081301,70.00807588,0.143631436,19.03116531,15.28406504,14.93287263,14.93287263,632,14,9,17,12,22,24,17,36,31,40,69,39,7,30,9,7,1.86
40,231549802,-0.162956323,233,1.519313305,138.7062147,62.14327684,45.0079096,44.73220339,0.039548023,1.553672316,1.045,0.95539548,0.95539548,340,15,10,16,12,15,18,15,28,23,54,64,27,10,36,0.67,0.64,1.08
