,Doctor Identifier,Provider Type,Number of Beneficiaries,Services by Beneficiary,Total Submitted Charge Amount,Total Allowed Amount,Total Payment Amount,Total Standardized Payment Amount,Number of Drug Services,Total Drug Submitted Charge Amount,Total Drug Allowed Amount ,Total Drug Payment Amount ,Total Drug Standardized Payment Amount,Number of Medical Services,Percent Atrial Fibrillation,Percent Alzheimerâ€™s Disease or Dementia ,Percent Asthma ,Percent Cancer ,Percent Heart Failure ,Percent Chronic Kidney Disease,Percent Chronic Obstructive Pulmonary Disease,Percent Depression ,Percent Diabetes ,Percent Hyperlipidemia ,Percent Hypertension ,Percent Ischemic Heart Disease ,Percent Osteoporosis ,Percent Rheumatoid Arthritis or Osteoarthritis ,Percent Schizophrenia or Other Psychotic Disorders ,Percent Stroke ,Average HCC Risk Score of Beneficiaries 
0,450181093,-0.18235749399999998,66,7.4393939389999995,107.02647659999998,93.33543788,69.67761711,66.11173116,0.0,0.0,0.0,0.0,0.0,491,1.41,1.42,18.0,1.13,2.09,20.0,1.6,75.0,18.0,41.0,50.0,3.11,0.83,23.0,18.0,0.65,1.28
1,375128823,-0.238432052,211,18.4028436,42.59799124,21.68842647,16.03347154,16.03592841,0.8508884879999999,7.447334535,4.853808911000001,3.8053901619999997,3.8053901619999997,579,9.0,15.0,9.0,9.0,11.0,14.0,10.0,42.0,24.0,48.0,56.0,22.0,9.0,38.0,7.0,10.0,1.52
2,429379427,-0.16295632300000001,632,4.909810127,171.31300349999998,74.27627457,56.15920077,53.91742829999999,0.327425073,10.326861099999999,7.105717048,5.498662585,5.498662585,2087,13.0,10.0,8.0,11.0,13.0,22.0,7.0,24.0,19.0,44.0,57.0,25.0,12.0,67.0,4.0,7.0,1.11
3,993555030,2.673125057,42,1.023809524,68.25581395,68.2055814,38.42581395,97.87790698,0.0,0.0,0.0,0.0,0.0,43,0.5,0.69,0.56,0.28,0.84,1.0,0.66,31.0,0.89,62.0,57.0,36.0,0.27,38.0,0.44,0.25,1.0
4,786413532,-0.359783415,34,4.441176471,86.87417219,26.43344371,25.90470199,22.53278146,0.0,0.0,0.0,0.0,0.0,151,0.07,0.0,0.06,0.08,0.08,0.12,0.06,56.0,75.0,75.0,75.0,41.0,0.05,56.0,0.0,0.03,1.57
5,252733945,-0.211661509,557,5.574506284,85.60921095,65.60355556,51.91331723,50.68663768,0.150402576,12.58086957,11.40555556,11.101562,11.101562,2638,14.0,17.0,10.0,15.0,22.0,21.0,13.0,23.0,21.0,55.0,63.0,36.0,16.0,35.0,4.0,12.0,1.21
6,456649481,-0.22302519699999998,107,6.093457944,161.2346626,100.1132055,76.42535276,89.62102761,0.0,0.0,0.0,0.0,0.0,652,2.75,3.66,16.0,1.69,0.0,14.0,3.54,67.0,15.0,28.0,29.0,5.77,1.5,26.0,19.0,0.0,1.05
7,933921624,-0.18235749399999998,30,1.8333333330000001,393.0727273,98.42890909,77.17036364,84.71,0.0,0.0,0.0,0.0,0.0,55,75.0,0.23,40.0,0.15,75.0,67.0,47.0,0.48,40.0,75.0,75.0,75.0,0.12,60.0,0.14,0.1,2.83
8,983640444,-0.22302519699999998,437,2.437070938,345.7004695,99.63878873,75.84935211,73.31487324,0.0,0.0,0.0,0.0,0.0,1065,21.0,9.0,41.0,20.0,36.0,39.0,61.0,35.0,28.0,57.0,75.0,47.0,18.0,43.0,4.0,7.0,2.32
9,404849132,-0.211661509,53,1.58490566,117.32142859999999,67.42523809999999,45.41869048,47.88964286,0.0,0.0,0.0,0.0,0.0,84,0.0,0.36,0.36,0.27,0.53,23.0,0.42,0.75,0.66,23.0,23.0,0.78,0.21,0.86,49.0,0.16,1.26
10,690987556,-0.247890621,355,3.904225352,126.969697,55.51678932,43.8921645,43.104422799999995,0.111832612,19.26406926,14.51220058,13.96386724,13.96386724,1231,12.0,8.0,18.0,14.0,18.0,24.0,19.0,25.0,36.0,70.0,75.0,31.0,14.0,45.0,2.47,6.0,1.37
11,658799001,-0.27132722800000003,19,12.10526316,120.30434779999999,53.45843478,36.86782609,42.01791304,0.0,0.0,0.0,0.0,0.0,230,0.0,0.0,0.52,0.32,0.79,0.97,0.62,63.0,0.9,1.51,1.79,1.04,0.0,1.11,0.38,0.0,1.04
12,714110083,-0.16295632300000001,457,1.420131291,375.3513097,73.70705701,53.54023112,62.78919877,0.0,0.0,0.0,0.0,0.0,649,15.0,22.0,25.0,13.0,28.0,36.0,23.0,41.0,30.0,54.0,72.0,35.0,14.0,42.0,18.0,9.0,1.71
13,525325614,-0.226720329,24,12.5,43.68746667,43.39926667,32.1147,30.55386667,0.0,0.0,0.0,0.0,0.0,300,0.42,0.42,0.41,0.33,0.62,0.8,0.47,0.85,0.79,46.0,46.0,0.92,0.25,50.0,0.23,0.19,1.23
